date,temperature_2m_mean,temperature_2m_median,wind_speed_10m_mean,wind_speed_10m_median,wind_speed_100m_mean,wind_speed_100m_median,wind_direction_10m_mean,wind_direction_10m_median,wind_direction_100m_mean,wind_direction_100m_median,wind_gusts_10m_mean,wind_gusts_10m_median,rain_mean,rain_median,wind_speed_200m_mean,wind_speed_200m_median,wind_direction_200m_mean,wind_direction_200m_median,alpha_shear_mean,alpha_shear_median
2026-04-05 00:00:00-06:00,26.599998,26.599998,6.0955787,6.0955787,10.498663,10.498663,347.27692,347.27692,13.282536,13.282536,11.519999,11.519999,0.0,0.0,12.365708481442528,12.365708481442528,13.282536,13.282536,0.2362453906600508,0.2362453906600508
2026-04-05 01:00:00-06:00,26.075,26.075,5.426162,5.426162,9.779158,9.779158,4.850402,4.850402,30.965439,30.965439,11.339999,11.339999,0.0,0.0,11.676488699969333,11.676488699969333,30.965439,30.965439,0.25570307058249653,0.25570307058249653
2026-04-05 02:00:00-06:00,25.75,25.75,4.7678947,4.7678947,9.769857,9.769857,10.809503,10.809503,34.772167,34.772167,9.719999,9.719999,0.0,0.0,12.12494577892118,12.12494577892118,34.772167,34.772167,0.31165328725879066,0.31165328725879066
2026-04-05 03:00:00-06:00,25.4,25.4,4.8776937,4.8776937,10.362977,10.362977,4.408789,4.408789,28.466969,28.466969,9.18,9.18,0.0,0.0,13.031258520606556,13.031258520606556,28.466969,28.466969,0.3280697024210183,0.3280697024210183
2026-04-05 04:00:00-06:00,24.900002,24.900002,3.0080514,3.0080514,7.97458,7.97458,176.95709,176.95709,25.426134,25.426134,8.459999,8.459999,0.0,0.0,10.732037372689794,10.732037372689794,25.426134,25.426134,0.42789875805209066,0.42789875805209066
2026-04-05 05:00:00-06:00,24.650002,24.650002,2.2537436,2.2537436,5.4468966,5.4468966,339.1833,339.1833,12.553879,12.553879,4.68,4.68,0.0,0.0,7.112264149691151,7.112264149691151,12.553879,12.553879,0.38325449690000646,0.38325449690000646
2026-04-05 06:00:00-06:00,24.224998,24.224998,2.4450407,2.4450407,5.5835085,5.5835085,6.210129,6.210129,14.550759,14.550759,4.1400003,4.1400003,0.0,0.0,7.191188454925282,7.191188454925282,14.550759,14.550759,0.3710457682305752,0.3710457682305752
2026-04-05 07:00:00-06:00,25.875,25.875,3.964333,3.964333,6.8441763,6.8441763,176.3665,176.3665,9.48575,9.48575,10.62,10.62,0.0,0.0,8.094399037668182,8.094399037668182,9.48575,9.48575,0.24893729387119173,0.24893729387119173
2026-04-05 08:00:00-06:00,29.05,29.05,2.6286306,2.6286306,4.0724125,4.0724125,166.71758,166.71758,183.56247,183.56247,12.779999,12.779999,0.0,0.0,4.655908142722529,4.655908142722529,183.56247,183.56247,0.21393851339084227,0.21393851339084227
2026-04-05 09:00:00-06:00,31.55,31.55,0.7834114,0.7834114,0.86088616,0.86088616,146.1901,146.1901,73.54744,73.54744,13.679999,13.679999,0.0,0.0,0.999302831720814,0.999302831720814,73.54744,73.54744,0.19621013066257742,0.19621013066257742
