date,wind_speed_10m,wind_speed_100m,wind_speed_200m,wind_direction_10m,wind_direction_100m,wind_direction_200m,wind_gusts_10m,Zona_Favorable,Dia,Hora
2026-03-22 15:00:00-06:00,14.436214,18.223083,19.546859105867878,201.74167,199.41803,199.41803,37.619995,Favorable,22-03-2026,15
2026-03-22 16:00:00-06:00,14.096712,17.989769,19.360103040218696,217.5733,216.60239,216.60239,34.559998,Favorable,22-03-2026,16
2026-03-22 17:00:00-06:00,11.360636,14.556282,15.68398503587261,234.1832,234.31497,234.31497,32.76,Favorable,22-03-2026,17
2026-03-22 18:00:00-06:00,10.44953,14.144904,15.497121562247854,259.06458,260.47742,260.47742,25.739998,Favorable,22-03-2026,18
2026-03-22 19:00:00-06:00,7.7751536,13.440723,15.85555288097197,249.69594,253.32094,253.32094,21.060001,Favorable,22-03-2026,19
2026-03-22 20:00:00-06:00,7.3477936,13.768549,16.6402549964592,268.52072,274.09283,274.09283,14.04,Favorable,22-03-2026,20
2026-03-22 21:00:00-06:00,5.714218,12.001783,15.10532755493929,290.23517,300.1083,300.1083,12.959999,No Favorable,22-03-2026,21
2026-03-22 22:00:00-06:00,5.2433286,10.957338,13.692595916670005,328.9052,332.0293,332.0293,9.719999,No Favorable,22-03-2026,22
2026-03-22 23:00:00-06:00,6.8157396,13.172165,16.061897570347377,320.09332,327.6065,327.6065,11.5199995,No Favorable,22-03-2026,23
2026-03-23 00:00:00-06:00,6.0878754,13.877003,17.791963565224833,321.7597,326.7213,326.7213,12.059999,No Favorable,23-03-2026,0
2026-03-23 01:00:00-06:00,4.694352,11.615089,15.27977320149544,327.69598,331.20248,331.20248,10.44,No Favorable,23-03-2026,1
2026-03-23 02:00:00-06:00,5.6195116,12.537255,15.994747765757056,328.2826,330.33243,330.33243,9.539999,No Favorable,23-03-2026,2
2026-03-23 03:00:00-06:00,5.049596,12.770494,16.993917458392673,331.55566,334.07404,334.07404,9.9,No Favorable,23-03-2026,3
2026-03-23 04:00:00-06:00,3.3016386,10.112407,14.181635433296924,324.2174,333.75604,333.75604,8.639999,No Favorable,23-03-2026,4
2026-03-23 05:00:00-06:00,1.1749846,6.542433,7.224146475615243,356.82996,346.45038,346.45038,4.68,No Favorable,23-03-2026,5
2026-03-23 06:00:00-06:00,3.0229888,5.632842,6.8012614736519925,93.05781,63.079124,63.079124,3.6,Favorable,23-03-2026,6
2026-03-23 07:00:00-06:00,6.8146315,11.322269,13.275034475223702,102.15226,96.26033,96.26033,13.5,Favorable,23-03-2026,7
2026-03-23 08:00:00-06:00,5.79327,8.604557,9.692803812818116,101.54463,103.20938,103.20938,16.74,Favorable,23-03-2026,8
2026-03-23 09:00:00-06:00,6.7696104,8.645269,9.305801090972668,125.873314,121.49252,121.49252,20.52,Favorable,23-03-2026,9
2026-03-23 10:00:00-06:00,10.417421,12.576065,13.310822406315909,149.79097,145.15546,145.15546,27.359999,Favorable,23-03-2026,10
2026-03-23 11:00:00-06:00,12.484552,14.952442,15.787365782680045,159.65387,155.87724,155.87724,31.5,Favorable,23-03-2026,11
2026-03-23 12:00:00-06:00,14.261374,17.147705,18.126914182514383,180.44261,179.27667,179.27667,34.92,Favorable,23-03-2026,12
2026-03-23 13:00:00-06:00,14.948794,18.356773,19.528672919064114,194.71461,195.32748,195.32748,37.260002,Favorable,23-03-2026,13
2026-03-23 14:00:00-06:00,13.626856,16.678234,17.72437456284478,208.7276,209.2966,209.2966,36.54,Favorable,23-03-2026,14
2026-03-23 15:00:00-06:00,14.923387,18.432976,19.64303310347327,219.58089,219.96463,219.96463,35.46,Favorable,23-03-2026,15
2026-03-23 16:00:00-06:00,13.975111,17.546217,18.790301850335297,230.93213,232.40797,232.40797,35.28,Favorable,23-03-2026,16
2026-03-23 17:00:00-06:00,13.169265,16.942732,18.278074271306586,251.16197,254.82182,254.82182,32.22,Favorable,23-03-2026,17
2026-03-23 18:00:00-06:00,12.298449,16.70123,18.31349517212115,266.08423,269.38763,269.38763,28.98,Favorable,23-03-2026,18
2026-03-23 19:00:00-06:00,10.237786,15.287037,17.25325428711279,276.5796,280.53845,280.53845,24.84,No Favorable,23-03-2026,19
2026-03-23 20:00:00-06:00,9.131254,14.920221,17.307818624310492,275.18225,280.4151,280.4151,18.9,No Favorable,23-03-2026,20
2026-03-23 21:00:00-06:00,8.567249,14.530779,17.041806560647807,279.05737,281.82446,281.82446,16.56,No Favorable,23-03-2026,21
2026-03-23 22:00:00-06:00,8.596865,14.904669,17.606082436343723,302.32935,298.866,298.866,16.2,No Favorable,23-03-2026,22
2026-03-23 23:00:00-06:00,8.002647,15.035492,18.18101844397265,321.13736,313.83923,313.83923,15.3,No Favorable,23-03-2026,23
