date,temperature_2m_mean,temperature_2m_median,wind_speed_10m_mean,wind_speed_10m_median,wind_speed_100m_mean,wind_speed_100m_median,wind_direction_10m_mean,wind_direction_10m_median,wind_direction_100m_mean,wind_direction_100m_median,wind_gusts_10m_mean,wind_gusts_10m_median,rain_mean,rain_median,wind_speed_200m_mean,wind_speed_200m_median,wind_direction_200m_mean,wind_direction_200m_median,alpha_shear_mean,alpha_shear_median
2026-05-12 00:00:00-06:00,27.55,27.55,8.623163,8.623163,14.737492,14.737492,61.5884,61.5884,75.03949,75.03949,9.18,9.18,0.0,0.0,17.318583320331065,17.318583320331065,75.03949,75.03949,0.23297247236932128,0.23297247236932128
2026-05-12 01:00:00-06:00,27.2,27.2,6.8516684,6.8516684,12.188751,12.188751,63.699844,63.699844,77.074005,77.074005,15.839998,15.839998,0.0,0.0,14.507433824940039,14.507433824940039,77.074005,77.074005,0.24914601243377005,0.24914601243377005
2026-05-12 02:00:00-06:00,26.8,26.8,6.0420523,6.0420523,9.292265,9.292265,24.624828,24.624828,45.794277,45.794277,12.24,12.24,0.0,0.0,10.615877432133196,10.615877432133196,45.794277,45.794277,0.18446083460698265,0.18446083460698265
2026-05-12 03:00:00-06:00,26.15,26.15,6.175481,6.175481,9.705273,9.705273,28.682146,28.682146,53.1188,53.1188,12.059999,12.059999,0.0,0.0,11.142194149272411,11.142194149272411,53.1188,53.1188,0.19258343081936433,0.19258343081936433
2026-05-12 04:00:00-06:00,25.975,25.975,3.5665298,3.5665298,5.3578215,5.3578215,179.07617,179.07617,42.27977,42.27977,10.98,10.98,0.0,0.0,6.121102789039352,6.121102789039352,42.27977,42.27977,0.18833023355851225,0.18833023355851225
2026-05-12 05:00:00-06:00,25.55,25.55,4.3800006,4.3800006,5.0451527,5.0451527,350.67236,350.67236,15.698968,15.698968,8.1,8.1,0.0,0.0,5.265256831133275,5.265256831133275,15.698968,15.698968,0.06324493593917457,0.06324493593917457
2026-05-12 06:00:00-06:00,25.474998,25.474998,6.1848917,6.1848917,7.5666885,7.5666885,187.39177,187.39177,23.662054,23.662054,10.98,10.98,0.0,0.0,8.041506657269501,8.041506657269501,23.662054,23.662054,0.0863167872548625,0.0863167872548625
2026-05-12 07:00:00-06:00,27.925,27.925,3.5146396,3.5146396,5.52688,5.52688,11.083195,11.083195,20.793907,20.793907,12.78,12.78,0.0,0.0,6.3338920521975375,6.3338920521975375,20.793907,20.793907,0.19690931911500997,0.19690931911500997
2026-05-12 08:00:00-06:00,30.575,30.575,1.9142274,1.9142274,2.2137074,2.2137074,305.49704,305.49704,315.0,315.0,13.68,13.68,0.0,0.0,2.314470448187327,2.314470448187327,315.0,315.0,0.0502965974275367,0.0502965974275367
2026-05-12 09:00:00-06:00,32.5,32.5,3.4870777,3.4870777,3.8482661,3.8482661,196.33038,196.33038,191.94154,191.94154,16.559998,16.559998,0.0,0.0,4.130984783734051,4.130984783734051,191.94154,191.94154,0.1085987990749281,0.1085987990749281
2026-05-12 10:00:00-06:00,33.675003,33.675003,9.000288,9.000288,10.390593,10.390593,182.19495,182.19495,175.58307,175.58307,25.199999,25.199999,0.05,0.05,10.849832374842874,10.849832374842874,175.58307,175.58307,0.062493982380287416,0.062493982380287416
2026-05-12 11:00:00-06:00,33.65,33.65,13.7286625,13.7286625,16.614962,16.614962,181.948,181.948,174.76497,174.76497,33.66,33.66,0.05,0.05,17.597402131928476,17.597402131928476,174.76497,174.76497,0.0826483346039226,0.0826483346039226
2026-05-12 12:00:00-06:00,32.125,32.125,14.938181,14.938181,18.675247,18.675247,186.23134,186.23134,183.83511,183.83511,36.9,36.9,0.14999999,0.14999999,19.973721364547202,19.973721364547202,183.83511,183.83511,0.09689801008822224,0.09689801008822224
2026-05-12 13:00:00-06:00,31.175,31.175,16.571129,16.571129,20.960901,20.960901,197.07394,197.07394,196.75305,196.75305,38.34,38.34,0.3,0.3,22.497652274019693,22.497652274019693,196.75305,196.75305,0.10198841457228261,0.10198841457228261
2026-05-12 14:00:00-06:00,29.825,29.825,15.279064,15.279064,19.56488,19.56488,208.29837,208.29837,208.15433,208.15433,38.519997,38.519997,0.7,0.7,21.076710429659148,21.076710429659148,208.15433,208.15433,0.10739698996447775,0.10739698996447775
2026-05-12 15:00:00-06:00,31.025,31.025,13.9011755,13.9011755,17.877996,17.877996,215.40753,215.40753,214.90195,214.90195,34.92,34.92,0.2,0.2,19.284791614499575,19.284791614499575,214.90195,214.90195,0.10942183894279608,0.10942183894279608
2026-05-12 16:00:00-06:00,29.7,29.7,12.48282,12.48282,16.206676,16.206676,212.84998,212.84998,212.68646,212.68646,33.12,33.12,0.3,0.3,17.531746128274428,17.531746128274428,212.68646,212.68646,0.11338246328243758,0.11338246328243758
2026-05-12 17:00:00-06:00,29.325,29.325,5.722371,5.722371,7.44139,7.44139,251.78351,251.78351,245.67587,245.67587,28.259998,28.259998,0.5,0.5,8.053822354266709,8.053822354266709,245.67587,245.67587,0.11452579473127288,0.11452579473127288
2026-05-12 18:00:00-06:00,28.725,28.725,4.335213,4.335213,5.700926,5.700926,273.4741,273.4741,273.11124,273.11124,16.02,16.02,0.1,0.1,6.190932140675711,6.190932140675711,273.11124,273.11124,0.11817866079353702,0.11817866079353702
2026-05-12 19:00:00-06:00,27.975,27.975,3.704397,3.704397,5.6381636,5.6381636,113.07869,113.07869,117.44783,117.44783,10.98,10.98,0.0,0.0,6.403761791820608,6.403761791820608,117.44783,117.44783,0.15967511053979075,0.15967511053979075
2026-05-12 20:00:00-06:00,27.575,27.575,5.692521,5.692521,8.624054,8.624054,36.386265,36.386265,35.78254,35.78254,10.259999,10.259999,0.0,0.0,9.77987807073884,9.77987807073884,35.78254,35.78254,0.1973907722398263,0.1973907722398263
2026-05-12 21:00:00-06:00,27.375,27.375,3.3847947,3.3847947,5.28912,5.28912,42.10885,42.10885,36.66174,36.66174,10.619999,10.619999,0.0,0.0,6.095312904613026,6.095312904613026,36.66174,36.66174,0.24058783950393023,0.24058783950393023
