date,temperature_2m_mean,temperature_2m_median,wind_speed_10m_mean,wind_speed_10m_median,wind_speed_100m_mean,wind_speed_100m_median,wind_direction_10m_mean,wind_direction_10m_median,wind_direction_100m_mean,wind_direction_100m_median,wind_gusts_10m_mean,wind_gusts_10m_median,rain_mean,rain_median,wind_speed_200m_mean,wind_speed_200m_median,wind_direction_200m_mean,wind_direction_200m_median,alpha_shear_mean,alpha_shear_median
2026-03-17 00:00:00-06:00,25.3,25.3,4.0508776,4.0508776,7.709381,7.709381,280.40112,280.40112,278.1569,278.1569,7.02,7.02,0.0,0.0,9.369782396655635,9.369782396655635,278.1569,278.1569,0.27127477482644863,0.27127477482644863
2026-03-17 01:00:00-06:00,24.974998,24.974998,2.6311846,2.6311846,6.1117067,6.1117067,283.9487,283.9487,277.01813,277.01813,7.2,7.2,0.0,0.0,7.905300576660128,7.905300576660128,277.01813,277.01813,0.38124368782375667,0.38124368782375667
2026-03-17 02:00:00-06:00,24.45,24.45,2.2821803,2.2821803,4.9615746,4.9615746,59.67883,59.67883,77.244644,77.244644,4.68,4.68,0.0,0.0,6.35697771479469,6.35697771479469,77.244644,77.244644,0.3769315385057978,0.3769315385057978
2026-03-17 03:00:00-06:00,24.075,24.075,3.9332087,3.9332087,7.820916,7.820916,61.627975,61.627975,87.75467,87.75467,6.4799995,6.4799995,0.0,0.0,9.624295049762564,9.624295049762564,87.75467,87.75467,0.2965283101131513,0.2965283101131513
2026-03-17 04:00:00-06:00,23.8,23.8,4.4836903,4.4836903,7.104393,7.104393,25.150461,25.150461,64.50232,64.50232,7.92,7.92,0.0,0.0,8.160284478200435,8.160284478200435,64.50232,64.50232,0.19997526614602285,0.19997526614602285
2026-03-17 05:00:00-06:00,23.4,23.4,5.5706797,5.5706797,8.307863,8.307863,40.536472,40.536472,63.27526,63.27526,10.44,10.44,0.0,0.0,9.377143533837954,9.377143533837954,63.27526,63.27526,0.1668362760027341,0.1668362760027341
2026-03-17 06:00:00-06:00,23.275,23.275,3.8469052,3.8469052,5.607319,5.607319,46.90707,46.90707,76.96224,76.96224,9.9,9.9,0.0,0.0,6.285234393963217,6.285234393963217,76.96224,76.96224,0.15990686761417544,0.15990686761417544
2026-03-17 07:00:00-06:00,24.35,24.35,4.750872,4.750872,3.6655047,3.6655047,33.107063,33.107063,34.314762,34.314762,10.799999,10.799999,0.0,0.0,3.8302109344548367,3.8302109344548367,34.314762,34.314762,0.09067412987906828,0.09067412987906828
2026-03-17 08:00:00-06:00,26.95,26.95,3.3640723,3.3640723,3.8778915,3.8778915,28.223991,28.223991,192.7153,192.7153,13.679999,13.679999,0.0,0.0,4.050327526212486,4.050327526212486,192.7153,192.7153,0.05818692127297681,0.05818692127297681
2026-03-17 09:00:00-06:00,29.599998,29.599998,2.0268855,2.0268855,2.5792112,2.5792112,159.54282,159.54282,337.8172,337.8172,14.58,14.58,0.0,0.0,2.7733480466776896,2.7733480466776896,337.8172,337.8172,0.10329076999601053,0.10329076999601053
