date,temperature_2m_mean,temperature_2m_median,wind_speed_10m_mean,wind_speed_10m_median,wind_speed_100m_mean,wind_speed_100m_median,wind_direction_10m_mean,wind_direction_10m_median,wind_direction_100m_mean,wind_direction_100m_median,wind_gusts_10m_mean,wind_gusts_10m_median,rain_mean,rain_median,wind_speed_200m_mean,wind_speed_200m_median,wind_direction_200m_mean,wind_direction_200m_median,alpha_shear_mean,alpha_shear_median
2026-03-08 00:00:00-06:00,26.275002,26.275002,2.641739,2.641739,5.2113156,5.2113156,27.886902,27.886902,28.836132,28.836132,5.58,5.58,0.0,0.0,6.400606357516204,6.400606357516204,28.836132,28.836132,0.30816385872901797,0.30816385872901797
2026-03-08 01:00:00-06:00,25.849998,25.849998,2.1412745,2.1412745,4.428384,4.428384,187.37178,187.37178,186.62576,186.62576,5.04,5.04,0.0,0.0,5.521046588541388,5.521046588541388,186.62576,186.62576,0.32061319747399997,0.32061319747399997
2026-03-08 02:00:00-06:00,25.5,25.5,1.2689117,1.2689117,2.541112,2.541112,219.34505,219.34505,40.719532,40.719532,3.78,3.78,0.0,0.0,3.132967077535068,3.132967077535068,40.719532,40.719532,0.306324880710488,0.306324880710488
2026-03-08 03:00:00-06:00,25.125,25.125,2.236449,2.236449,4.489637,4.489637,137.02216,137.02216,128.25821,128.25821,3.78,3.78,0.0,0.0,5.645392354974865,5.645392354974865,128.25821,128.25821,0.37310145063291084,0.37310145063291084
2026-03-08 04:00:00-06:00,24.875,24.875,3.1861095,3.1861095,5.7629476,5.7629476,71.21567,71.21567,90.39513,90.39513,4.8599997,4.8599997,0.0,0.0,6.8893614229202615,6.8893614229202615,90.39513,90.39513,0.2564388145171216,0.2564388145171216
2026-03-08 05:00:00-06:00,24.525,24.525,3.0481164,3.0481164,5.1998296,5.1998296,208.99733,208.99733,61.511894,61.511894,5.58,5.58,0.0,0.0,6.110308848757137,6.110308848757137,61.511894,61.511894,0.2286094182946577,0.2286094182946577
2026-03-08 06:00:00-06:00,24.225,24.225,3.812049,3.812049,4.4652767,4.4652767,166.50983,166.50983,354.15533,354.15533,6.3,6.3,0.0,0.0,4.683024894194677,4.683024894194677,354.15533,354.15533,0.0685131527575101,0.0685131527575101
2026-03-08 07:00:00-06:00,24.45,24.45,9.615122,9.615122,16.149065,16.149065,305.508,305.508,312.05737,312.05737,18.54,18.54,0.050000012,0.050000012,18.885475341527453,18.885475341527453,312.05737,312.05737,0.2231488897640408,0.2231488897640408
2026-03-08 08:00:00-06:00,27.175,27.175,8.340489,8.340489,11.473791,11.473791,298.0338,298.0338,297.67963,297.67963,21.419998,21.419998,0.0,0.0,12.630090470155432,12.630090470155432,297.67963,297.67963,0.138845396638387,0.138845396638387
2026-03-08 09:00:00-06:00,29.8,29.8,7.094215,7.094215,9.162214,9.162214,295.55774,295.55774,300.03418,300.03418,21.96,21.96,0.0,0.0,9.896024237111781,9.896024237111781,300.03418,300.03418,0.11098839303070793,0.11098839303070793
2026-03-08 10:00:00-06:00,31.8,31.8,7.4244905,7.4244905,8.802472,8.802472,246.74994,246.74994,256.91174,256.91174,23.579998,23.579998,0.0,0.0,9.265362727372754,9.265362727372754,256.91174,256.91174,0.0741138052703987,0.0741138052703987
2026-03-08 11:00:00-06:00,32.5,32.5,12.443752,12.443752,14.646014,14.646014,228.16866,228.16866,232.97394,232.97394,31.14,31.14,0.0,0.0,15.382936016440878,15.382936016440878,232.97394,232.97394,0.0697429951124767,0.0697429951124767
2026-03-08 12:00:00-06:00,33.074997,33.074997,15.002258,15.002258,18.164324,18.164324,230.13278,230.13278,234.16003,234.16003,36.0,36.0,0.0,0.0,19.243472728610413,19.243472728610413,234.16003,234.16003,0.08204236997147862,0.08204236997147862
2026-03-08 13:00:00-06:00,33.375,33.375,16.097565,16.097565,19.851328,19.851328,232.75204,232.75204,235.0524,235.0524,38.52,38.52,0.0,0.0,21.144305192678573,21.144305192678573,235.0524,235.0524,0.09107640465697725,0.09107640465697725
2026-03-08 14:00:00-06:00,32.55,32.55,17.544046,17.544046,22.097506,22.097506,229.60063,229.60063,229.56879,229.56879,41.04,41.04,0.0,0.0,23.687025850542074,23.687025850542074,229.56879,229.56879,0.1001932582623753,0.1001932582623753
2026-03-08 15:00:00-06:00,32.05,32.05,15.204819,15.204819,19.396832,19.396832,239.3476,239.3476,240.67924,240.67924,40.68,40.68,0.0,0.0,20.872163052546448,20.872163052546448,240.67924,240.67924,0.10584847839648616,0.10584847839648616
2026-03-08 16:00:00-06:00,31.45,31.45,10.998346,10.998346,14.222807,14.222807,266.72318,266.72318,269.66483,269.66483,34.739998,34.739998,0.0,0.0,15.36752734517228,15.36752734517228,269.66483,269.66483,0.1115788066676826,0.1115788066676826
2026-03-08 17:00:00-06:00,30.849998,30.849998,10.186365,10.186365,13.152038,13.152038,266.91113,266.91113,272.32465,272.32465,26.46,26.46,0.0,0.0,14.20364139426966,14.20364139426966,272.32465,272.32465,0.11100304448877804,0.11100304448877804
2026-03-08 18:00:00-06:00,30.05,30.05,8.965393,8.965393,11.991524,11.991524,261.83682,261.83682,266.31378,266.31378,22.68,22.68,0.0,0.0,13.088700632712673,13.088700632712673,266.31378,266.31378,0.12619432207078152,0.12619432207078152
2026-03-08 19:00:00-06:00,28.925,28.925,7.346612,7.346612,12.196925,12.196925,266.61438,266.61438,273.98242,273.98242,18.36,18.36,0.0,0.0,14.250681160839822,14.250681160839822,273.98242,273.98242,0.23279905579604177,0.23279905579604177
2026-03-08 20:00:00-06:00,28.25,28.25,6.094559,6.094559,9.026449,9.026449,172.8117,172.8117,173.846,173.846,14.219999,14.219999,0.0,0.0,10.170581047140686,10.170581047140686,173.846,173.846,0.1677784346487569,0.1677784346487569
2026-03-08 21:00:00-06:00,27.75,27.75,4.3954086,4.3954086,8.1094475,8.1094475,259.87677,259.87677,248.56055,248.56055,12.24,12.24,0.0,0.0,9.870733063313745,9.870733063313745,248.56055,248.56055,0.3586579086603575,0.3586579086603575
2026-03-08 22:00:00-06:00,27.375,27.375,3.5359035,3.5359035,7.2404857,7.2404857,328.93784,328.93784,295.5241,295.5241,8.639999,8.639999,0.0,0.0,8.985824678283707,8.985824678283707,295.5241,295.5241,0.31991916877732535,0.31991916877732535
2026-03-08 23:00:00-06:00,26.825,26.825,5.8055487,5.8055487,10.2614,10.2614,330.46207,330.46207,321.91718,321.91718,10.26,10.26,0.0,0.0,12.18070004698448,12.18070004698448,321.91718,321.91718,0.2478221263558905,0.2478221263558905
2026-03-09 00:00:00-06:00,26.125,26.125,4.677618,4.677618,9.781679,9.781679,336.0722,336.0722,332.90466,332.90466,10.26,10.26,0.0,0.0,12.214288967377357,12.214288967377357,332.90466,332.90466,0.32191694426852513,0.32191694426852513
2026-03-09 01:00:00-06:00,25.5,25.5,5.274085,5.274085,11.031064,11.031064,332.41232,332.41232,329.1994,329.1994,9.36,9.36,0.0,0.0,13.793214016553257,13.793214016553257,329.1994,329.1994,0.31368360141217094,0.31368360141217094
2026-03-09 02:00:00-06:00,24.975,24.975,4.183996,4.183996,10.334215,10.334215,340.9555,340.9555,337.62207,337.62207,9.36,9.36,0.0,0.0,13.575974586939477,13.575974586939477,337.62207,337.62207,0.40150833692266485,0.40150833692266485
2026-03-09 03:00:00-06:00,24.525,24.525,2.8634987,2.8634987,8.898174,8.898174,343.15497,343.15497,171.39592,171.39592,6.84,6.84,0.0,0.0,12.517893901988671,12.517893901988671,171.39592,171.39592,0.4931047097895751,0.4931047097895751
2026-03-09 04:00:00-06:00,24.275,24.275,2.861628,2.861628,7.5292435,7.5292435,65.30068,65.30068,34.628914,34.628914,4.5,4.5,0.0,0.0,10.074696192967625,10.074696192967625,34.628914,34.628914,0.418943481425211,0.418943481425211
2026-03-09 05:00:00-06:00,24.125,24.125,3.8726413,3.8726413,8.274589,8.274589,76.55742,76.55742,55.981857,55.981857,6.48,6.48,0.0,0.0,10.405424929041075,10.405424929041075,55.981857,55.981857,0.33831530396784837,0.33831530396784837
2026-03-09 06:00:00-06:00,24.0,24.0,3.3196154,3.3196154,7.885357,7.885357,102.90227,102.90227,84.865906,84.865906,6.3,6.3,0.0,0.0,10.255962110798706,10.255962110798706,84.865906,84.865906,0.3895257869014449,0.3895257869014449
2026-03-09 07:00:00-06:00,25.05,25.05,3.8660264,3.8660264,6.43766,6.43766,89.34737,89.34737,102.45637,102.45637,8.82,8.82,0.0,0.0,7.51600804835963,7.51600804835963,102.45637,102.45637,0.23447956638799805,0.23447956638799805
2026-03-09 08:00:00-06:00,27.8,27.8,1.8928096,1.8928096,2.9025383,2.9025383,110.22313,110.22313,115.921394,115.921394,11.16,11.16,0.0,0.0,3.302424655828341,3.302424655828341,115.921394,115.921394,0.1732965529873976,0.1732965529873976
2026-03-09 09:00:00-06:00,30.625,30.625,5.273271,5.273271,6.6491833,6.6491833,152.54874,152.54874,146.7927,146.7927,17.46,17.46,0.0,0.0,7.1300868332085905,7.1300868332085905,146.7927,146.7927,0.09995152538294862,0.09995152538294862
2026-03-09 10:00:00-06:00,32.025,32.025,10.03978,10.03978,11.983994,11.983994,164.04156,164.04156,160.18797,160.18797,28.439999,28.439999,0.0,0.0,12.639920531236932,12.639920531236932,160.18797,160.18797,0.07694739014251739,0.07694739014251739
2026-03-09 11:00:00-06:00,32.9,32.9,10.96785,10.96785,12.649706,12.649706,172.28952,172.28952,167.98012,167.98012,31.32,31.32,0.0,0.0,13.205844426991838,13.205844426991838,167.98012,167.98012,0.059953300475475424,0.059953300475475424
2026-03-09 12:00:00-06:00,33.175,33.175,14.607107,14.607107,17.527344,17.527344,184.58453,184.58453,179.5758,179.5758,35.64,35.64,0.0,0.0,18.520483890013143,18.520483890013143,179.5758,179.5758,0.07460346101142698,0.07460346101142698
2026-03-09 13:00:00-06:00,32.85,32.85,15.500313,15.500313,19.807667,19.807667,187.33357,187.33357,182.2463,182.2463,38.879997,38.879997,0.0,0.0,21.333326915166,21.333326915166,182.2463,182.2463,0.10378408213006426,0.10378408213006426
2026-03-09 14:00:00-06:00,32.225,32.225,15.4618225,15.4618225,19.737305,19.737305,215.1831,215.1831,212.84203,212.84203,38.34,38.34,0.0,0.0,21.244460404920623,21.244460404920623,212.84203,212.84203,0.10570679802036911,0.10570679802036911
2026-03-09 15:00:00-06:00,31.775002,31.775002,15.766195,15.766195,19.803179,19.803179,235.87285,235.87285,234.34859,234.34859,38.699997,38.699997,0.0,0.0,21.21040349871216,21.21040349871216,234.34859,234.34859,0.09884877989669578,0.09884877989669578
2026-03-09 16:00:00-06:00,31.225,31.225,12.637447,12.637447,15.913879,15.913879,233.677,233.677,232.23514,232.23514,36.72,36.72,0.0,0.0,17.057876478005994,17.057876478005994,232.23514,232.23514,0.10002564338174588,0.10002564338174588
2026-03-09 17:00:00-06:00,30.575,30.575,10.63283,10.63283,13.483021,13.483021,232.73569,232.73569,232.29868,232.29868,30.060001,30.060001,0.0,0.0,14.483012590208755,14.483012590208755,232.29868,232.29868,0.10286001454015235,0.10286001454015235
